@relation data2
@attribute "Nazwa komponentu" string
@attribute AVGCC numeric
@attribute MAXCC numeric
@attribute AVGWMC numeric
@attribute MAXWMC numeric
@attribute AVGDI1 numeric
@attribute MAXDI1 numeric
@attribute AVG0OC numeric
@attribute MAX0OC numeric
@attribute AVGCBO numeric
@attribute MAXCBO numeric
@attribute AVGRFC numeric
@attribute MAXRFC numeric
@attribute AVGLCOM numeric
@attribute MAXLCOM numeric
@attribute AVGca numeric
@attribute MAXCa numeric
@attribute AVGCe numeric
@attribute MAXCe numeric
@attribute AVG0PM numeric
@attribute MAX0PM numeric
@attribute AVGLCOM3 numeric
@attribute MAXLCOM3 numeric
@attribute AVGLOC numeric
@attribute MAXLOC numeric
@attribute AVGDAM numeric
@attribute MAXDAM numeric
@attribute AVGMOA numeric
@attribute MAXMOA numeric
@attribute AVGMFA numeric
@attribute MAXMFA numeric
@attribute AVGCAM numeric
@attribute MAXCAM numeric
@attribute AVGIC numeric
@attribute MAXIC numeric
@attribute AVGCBM numeric
@attribute MAXCBM numeric
@attribute AVGAMC numeric
@attribute MAXAMC numeric
@attribute DistinctAssignee numeric
@attribute PreReleaseDefects numeric
@attribute DistinctReporters numeric
@attribute Liczbaklas numeric
@attribute Dlugoscprojektudni numeric
@attribute Jakosc numeric
@data
'camel-quickfix',11,22.3333,5.91,20,0.36,1,0.18,2,10.36,32,16,45,17.27,152,1.27,6,9.82,28,3.91,15,0.87,2,69.82,232,0,0,0.77,1,0.45,1,0,0,0.54,1,0,0,0,0,0,0,0,11,883,1
'camel-rabbitmq',21.21,40.5,8.67,32,0.17,1,0,0,9.83,19,29.67,62,74.83,430,1.5,4,9.67,18,6.83,31,0.83,2,148.17,277,0,0,0.65,1,0.5,2,0,0,0.52,1,0,0,0,0,0,0,0,6,2261,0
'camel-restlet',16.75,62.875,5.91,16,0.36,1,0,0,10.09,25,24.45,71,13.18,102,1.64,5,9.18,25,4.09,16,1.1,2,126.73,513,0,0,0.55,1,0.18,1,0,0,0.58,1,0,0,0,0,1,1,2,11,596,0
'camel-rmi',12.17,23.6667,6.75,15,0,0,0,0,7.5,12,21.5,37,22.75,85,1.5,3,7.5,12,5.75,14,0.94,2,87.25,151,0,0,0.75,1,0.5,1,0,0,0.39,0.5556,0,0,0,0,0,0,0,4,0,1
'camel-rss',10.93,30,3.23,9,0.54,1,0,0,5.69,12,9.85,23,4.62,34,0.92,3,5.08,11,1.85,6,1.54,2,38.08,90,0,0,0.31,1,0,0,0,0,0.63,1,0,0,0,0,2,1,2,13,840,0
'camel-rx',8.76,17,4,10,0.58,1,0,0,5.25,13,9.42,19,5.17,39,0.42,2,5,13,3.33,9,0.59,2,39.17,88,0,0,0.75,1,0.25,1,0,0,0.55,1,0,0,0,0,0,0,0,12,2120,1
'camel-salesforce',19.82,292.3333,7,87,0.78,2,0.19,18,5.89,38,15.23,107,65.86,3655,1.39,18,5.35,37,5.61,87,0.67,2,121.46,1934,0,0,0.46,1,2.3,174,0.06,0.8667,0.51,1,0.08,1,0.08,1,0,0,0,136,2261,0
'camel-saxon',16.28,47,9.67,41,0.67,2,0.5,3,6.83,21,20.5,89,127.67,750,1.5,3,6.33,21,7.17,35,0.96,2,121.83,495,0,0,0.19,1,1.5,8,0.14,0.8667,0.35,0.5625,0.17,1,0.17,1,1,0,1,6,0,1
'camel-scala',4.19,10.1176,10.74,32,0.97,1,0,0,11.94,33,19.57,55,98.43,490,4.2,11,10.49,32,10.74,32,1.1,2,62.43,202,0,0,0.56,1,0.2,1,0,0,0.47,1,0,0,0,0,0,0,1,35,386,0
'camel-schematron',13.21,30,3.5,11,0.5,1,0,0,4.5,15,13.5,31,4.6,35,0.6,2,4.3,15,2.5,10,1.07,2,56.2,134,0,0,0.6,1,0.2,1,0,0,0.64,1,0,0,0,0,0,0,0,10,2635,0
'camel-script',7.27,10.2143,29.5,56,0.5,1,0,0,7.5,13,47,88,719.5,1436,0.5,1,7,13,24,45,1.34,2,325,634,0,0,0.5,1,0,0,0,0,0.45,0.7778,0,0,0,0,1,0,1,2,0,1
'camel-servlet',14.83,20,5.67,6,0,0,0,0,10.33,15,21.67,28,8.67,13,1,1,10,15,5,6,0.61,0.8,90,126,0,0,1,1,0,0,0,0,0.37,0.4167,0,0,0,0,1,0,1,3,840,0
'camel-servletlistener',20.72,89.3636,5,11,0.4,1,0.4,2,9.6,35,26.6,115,7,21,1,2,8.6,33,2.6,4,0.69,2,212.8,1000,0,0,0.77,1,0.6,3,0,0,0.82,1,0,0,0,0,0,0,0,5,2120,1
'camel-shiro',14.52,30,10,27,1,1,0,0,10.2,25,25.4,64,61.6,289,1.4,3,9.6,25,8.2,21,0.51,0.7333,156.4,424,0,0,0.6,1,0.6,1,0,0,0.48,0.75,0,0,0,0,0,0,0,5,1211,1
'camel-sip',52.15,427,16.55,109,0.73,3,0,0,6,10,40.36,164,508.36,5534,1.36,5,5.36,10,14.18,98,1.02,2,285.73,1391,0,0,0.73,1,0.45,1,0.09,1,0.32,1,0,0,0,0,0,0,0,11,1211,1
'camel-sjms',17.34,67.3333,7.12,47,0.78,2,0.08,2,6.14,25,22.4,122,47.06,961,1.28,5,5.42,25,5.38,45,1.01,2,130.02,854,0,0,0.42,1,0.94,12,0.06,0.8667,0.46,1,0.08,1,0.08,1,0,0,3,50,2120,0
'camel-smpp',19.13,48.7778,13.75,46,0.38,1,0,0,13.25,27,41.25,79,123.75,835,2.25,6,11.75,27,11.5,46,0.64,1.0833,220.88,475,0,0,0.76,1,1,2,0,0,0.34,0.5,0,0,0,0,0,0,0,8,955,0
'camel-snmp',16.17,34,6.67,26,1.11,5,0,0,9,26,22.33,63,33.56,277,1.33,3,8.33,26,5.11,24,1.25,2,103.33,261,0,0,0.63,1,0.78,3,0.31,1,0.53,1,0.22,1,0.22,1,0,0,0,9,883,1
'camel-soap',17.02,48.125,5.14,13,0.86,1,0,0,4.14,14,23.43,80,9.29,44,1,3,3.14,14,3.57,7,1.03,2,146.14,495,0,0,0.71,1,0.43,2,0,0,0.48,0.625,0,0,0,0,0,0,0,7,1055,1
'camel-solr',13.35,34.2857,6.75,17,0.25,1,0,0,6,13,21.75,46,19.5,62,1,2,6,13,5.5,17,1.39,2,97.5,249,0,0,0.5,1,0,0,0,0,0.62,1,0,0,0,0,0,0,0,4,1640,1
'camel-splunk',15.32,35.8,9.5,48,0.75,2,0.15,3,7.95,25,24.8,89,103.5,1084,1.5,6,6.85,25,7.3,46,1.01,2,139.4,580,0,0,0.59,1,0.7,4,0.08,0.8125,0.4,1,0.1,1,0.1,1,0,0,0,20,2454,1
'camel-spring',15.24,85,5.72,19,0.62,5,0.15,3,5.85,27,16.89,112,14.15,121,1.26,4,5.32,27,3.96,15,0.64,2,95.91,1000,0,0,0.56,1,0.49,3,0.02,0.9545,0.49,1,0.02,1,0.02,1,1,0,1,47,0,1
'camel-spring-batch',12.99,28.6667,3.38,7,0.75,2,0,0,5.38,12,10.25,23,2.25,11,0.38,1,5,11,2.5,5,0.38,1,52.5,128,0,0,0.91,1,0.38,3,0.11,0.8667,0.51,0.6667,0.12,1,0.12,1,0,0,0,8,1822,0
'camel-spring-integration',18.94,97,7.25,19,0.25,1,0.17,2,9.67,20,19.5,42,29.08,157,1.25,3,9.08,20,6,18,1.26,2,89.17,202,0,0,0.58,1,0.17,1,0,0,0.5,1,0,0,0,0,2,1,4,12,386,0
'camel-spring-javaconfig',18.76,63.3333,5.33,14,0.33,1,0.17,1,7.17,17,17.5,35,15.17,63,0.83,2,7,16,3.5,9,0.66,2,95.83,194,0,0,0.5,1,0.33,1,0,0,0.64,1,0,0,0,0,0,0,0,6,1055,1
'camel-spring-redis',72.29,698,13.25,100,0.75,2,0,0,6.5,17,33.69,217,18.88,179,1.75,7,5.75,15,10.62,100,0.83,2,306,1376,0,0,0.44,1,8.31,124,0.05,0.8667,0.38,0.6667,0.06,1,0.06,1,0,0,0,16,2120,1
'camel-spring-security',9.55,14,6.25,19,0.75,1,0,0,8.25,25,15.25,42,28.25,111,0.25,1,8,25,4.75,14,1.21,2,72.75,229,0,0,0.5,1,0.25,1,0,0,0.6,1,0,0,0,0,0,0,0,4,1055,1
'camel-spring-ws',12.27,33,5.87,17,0.67,2,0,0,7.53,21,16.93,53,15,110,1,4,6.8,21,3.87,17,1.06,2,86.2,261,0,0,0.62,1,0.73,6,0.05,0.7647,0.39,1,0.13,1,0.13,1,0,0,0,15,1303,1
'camel-sql',11.42,21,3.33,4,0,0,0,0,6.33,8,9.67,13,2.67,4,1,2,6,7,3,4,0.44,0.6667,36.67,46,0,0,1,1,0,0,0,0,0.47,0.6,0,0,0,0,0,0,0,3,281,1
'camel-ssh',15.81,28,15.4,29,0.2,1,0,0,8.6,20,40.2,93,158.8,382,1.6,3,8.2,20,14.6,27,0.33,0.9143,168.2,400,0,0,0.98,1,0.8,1,0,0,0.4,0.6667,0,0,0,0,1,1,2,5,1822,1
'camel-stax',15.9,26.5,7.89,36,0.78,1,0,0,4.11,10,25.11,109,55.44,474,1,2,3.56,9,4.11,14,0.78,2,152,819,0,0,0.67,1,0.11,1,0,0,0.46,0.6667,0,0,0,0,1,0,1,9,1640,1
'camel-stomp',10.85,17,4.73,15,0.09,1,0,0,8.55,28,13.82,42,7.18,45,2.18,9,8,27,2.82,8,0.23,1,52.27,161,0,0,0.27,1,1,2,0,0,0.57,0.75,0,0,0,0,0,0,0,11,2261,0
'camel-stream',10.27,29.6,3.45,10,0.82,3,0,0,4.18,11,12.27,45,1.45,6,1,2,3.36,11,2.09,4,1.3,2,65.91,313,0,0,0.33,1,0.09,1,0.18,1,0.67,1,0,0,0,0,0,0,1,11,281,1
'camel-swagger',14.9,94.3333,4.77,17,0.23,1,0,0,11.18,52,16.64,79,13.59,134,1.77,11,10.86,48,4.59,16,1.1,2,87.5,480,0,0,0.34,1,0.36,2,0,0,0.46,0.6667,0,0,0,0,0,0,1,22,2635,1
'camel-syslog',42.88,111.2,4.75,16,1.62,3,0,0,4.12,8,16.25,60,12.62,78,1.5,3,2.62,8,3.5,16,1.29,2,178.25,563,0,0,0.28,1,6.12,25,0.45,1,0.55,1,0.38,1,0.38,1,0,0,0,8,1303,1
'camel-test',12.51,23,13,40,0.29,1,0.29,1,10.29,24,35.79,103,161,750,1.29,4,9.86,23,7.29,38,0.84,2,199.71,654,0,0,0.43,1,0.43,1,0,0,0.47,0.75,0,0,0,0,0,0,0,14,840,1
'camel-twitter',18.06,129,4.64,31,0.58,2,0.06,2,7.06,26,13.47,44,15.33,389,0.83,6,6.39,23,3.75,31,0.84,2,67.81,248,0,0,0.45,1,0.94,9,0.11,0.8125,0.52,1,0.14,1,0.14,1,4,2,5,36,1822,0
'camel-undertow',37,294.5,7.81,27,0.69,1,0,0,12.81,31,29.31,95,31.75,319,2.12,7,11.56,30,5.94,26,1.05,2,201.25,708,0,0,0.43,1,0.5,2,0,0,0.45,1,0,0,0,0,2,0,2,16,3020,0
'camel-velocity',9.46,13.1667,5,6,0,0,0,0,8,12,14.5,22,5.5,11,1,1,8,12,4,5,0.47,0.6,57.5,87,0,0,1,1,0.5,1,0,0,0.37,0.4375,0,0,0,0,0,0,0,2,281,1
'camel-vertx',9.94,20,6.33,13,0.33,1,0,0,8.67,16,16.17,29,12.83,39,1.67,3,8.67,16,4.5,10,0.6,1,69.33,124,0,0,0.67,1,0.5,1,0,0,0.45,0.6667,0,0,0,0,0,0,0,6,2261,1
'camel-weather',12.59,24.5,5.5,18,0.75,2,0,0,6.38,12,15.38,41,16.75,113,1.62,4,5.75,12,4.38,17,1.06,2,87.5,312,0,0,0.53,1,1.38,4,0.22,0.8667,0.49,1,0.25,1,0.25,1,0,0,0,8,2261,1
'camel-websocket',7.2,26.6327,10.06,49,0.75,3,0,0,9.19,46,26.06,202,103.94,948,2.56,6,7.5,46,8.25,35,1.04,2,143.81,1370,0,0,0.56,1,0.88,3,0.05,0.8704,0.45,1,0.12,2,0.19,3,0,0,2,16,1822,0
'camel-xmljson',13.97,29,10.5,33,1,2,0,0,4.25,11,24.5,73,110.75,438,0.5,1,3.75,11,9,30,0.96,2,141,406,0,0,0.31,1,1.25,4,0.22,0.8667,0.47,0.7778,0.25,1,0.25,1,0,0,0,4,1822,1
'camel-xmlrpc',13.73,38.3333,4.9,12,0.6,1,0,0,7.2,21,16.1,50,8,38,0.8,2,6.8,21,3.5,12,1.14,2,80.9,284,0,0,0.6,1,0.2,1,0,0,0.57,1,0,0,0,0,0,0,0,10,2120,1
'camel-xmlsecurity',24.22,24.2222,18,18,1,1,0,0,14,14,63,63,85,85,0,0,14,14,15,15,0.54,0.5441,458,458,0,0,1,1,0,0,0,0,0.2,0.197,0,0,0,0,0,0,0,1,840,1
'camel-xmpp',11.63,24.4,11,35,0.56,4,0,0,10.22,23,27.11,60,81.78,523,2.22,5,9.33,23,9,33,1.08,2,118.89,339,0,0,0.78,1,0.56,1,0.11,1,0.39,0.8333,0,0,0,0,1,0,1,9,0,1
'camel-xstream',8.4,8.4,10,10,1,1,0,0,9,9,20,20,41,41,0,0,9,9,7,7,0.67,0.6667,96,96,0,0,1,1,0,0,0,0,0.31,0.3143,0,0,0,0,0,0,0,1,281,1
'camel-zookeeper',16.05,38.25,6.57,28,0.51,2,0.31,7,8,25,19.17,74,27.06,370,2.06,11,6.63,25,4.51,27,0.92,2,106.09,465,0,0,0.55,1,0.63,3,0.02,0.8667,0.41,1,0.03,1,0.03,1,1,0,2,35,1640,0
